countryiso3code,country,date,gini,subsequent_growth
ALB,Albania,2018,30.1,4.940081750329226
ALB,Albania,2017,33.1,4.848861973180702
ALB,Albania,2016,33.7,4.5353349051883765
ALB,Albania,2015,32.8,3.507470215864042
ALB,Albania,2014,34.6,4.632990182667026
ALB,Albania,2012,29.0,4.270134775343828
DZA,Algeria,2011,27.6,1.1627840379677565
AGO,Angola,2018,51.3,-3.229083013946048
ARG,Argentina,2018,41.7,0.15556562616795802
ARG,Argentina,2017,41.4,-0.10013479448742597
ARG,Argentina,2016,42.3,-0.8763515385284542
ARG,Argentina,2014,41.8,-1.1115592819747522
ARG,Argentina,2013,41.1,-1.2751986769916102
ARG,Argentina,2012,41.4,-0.3133887771426159
ARG,Argentina,2011,42.7,-1.104333055314582
ARG,Argentina,2010,43.7,0.47682164145124
ARM,Armenia,2018,34.4,5.4512402732582865
ARM,Armenia,2017,33.6,4.869136440625239
ARM,Armenia,2016,32.5,3.994558942020506
ARM,Armenia,2015,32.4,2.962648850739922
ARM,Armenia,2014,31.5,5.099580850717325
ARM,Armenia,2013,30.6,4.308739313593504
ARM,Armenia,2012,29.6,3.8693957952991673
ARM,Armenia,2011,29.4,3.7432474906082875
ARM,Armenia,2010,30.0,4.677747122029656
AUS,Australia,2018,34.3,1.0421660087427551
AUS,Australia,2016,33.7,0.633986073727747
AUS,Australia,2014,34.4,0.9063982233907664
AUS,Australia,2010,34.7,1.1649191583605383
AUT,Austria,2018,30.8,0.32589686424371017
AUT,Austria,2017,29.7,1.075767176826254
AUT,Austria,2016,30.8,0.522929053840208
AUT,Austria,2015,30.5,-0.16668866850268396
AUT,Austria,2014,30.5,1.209441998209525
AUT,Austria,2013,30.8,0.9430252537626252
AUT,Austria,2012,30.5,0.37839130189282005
AUT,Austria,2011,30.8,0.0996276614080707
AUT,Austria,2010,30.3,0.4120728787280827
BGD,Bangladesh,2016,32.4,5.551778870154904
BGD,Bangladesh,2010,32.1,5.346790376109886
BRB,Barbados,2016,34.1,-1.9265587612335628
BLR,Belarus,2018,25.2,1.0987256422785732
BLR,Belarus,2017,25.4,0.8344823490598392
BLR,Belarus,2016,25.3,2.141151868483683
BLR,Belarus,2015,25.6,0.9606056066086494
BLR,Belarus,2014,27.2,0.21940029093770813
BLR,Belarus,2013,26.6,0.20793919400151592
BLR,Belarus,2012,26.5,-0.25856109795567
BLR,Belarus,2011,27.2,-0.41406865398571197
BLR,Belarus,2010,28.6,1.267824143807684
BEL,Belgium,2018,27.2,1.2789945460375307
BEL,Belgium,2017,27.4,1.4217768902813819
BEL,Belgium,2016,27.6,1.0011780648262538
BEL,Belgium,2015,27.7,-0.025933013934935235
BEL,Belgium,2014,28.1,1.1921302796807036
BEL,Belgium,2013,27.7,1.076941340205258
